403589_770_C,1025,"MANE_P5",816.5691,-116.6928,-62.0164,
403589_770_C,21059,"EYE_L|2_1",768.0832,29.0893,205.4601,
403589_770_C,21055,"EYE_R|2_1",768.6961,-30.3134,205.3718,
403589_770_N,1004,"DISP_P1",1.3069,-173.6453,67.7362,
403589_770_N,1012,"DISP_P2",1.3762,173.3616,68.5302,
403589_770_N,1013,"DISP_P3",1.3490,172.6072,-56.6742,
403589_770_N,1018,"DISP_P4",1.2238,-10.3719,-61.8108,
403589_770_N,1005,"DISP_P5",1.1868,-172.8444,-57.1130,
403589_770_N,1026,"MANE_P1",814.8621,-303.3676,76.5607,
403589_770_N,1027,"MANE_P2",814.8677,-66.5726,77.8654,
403589_770_N,1025,"MANE_P3",816.5639,-66.6071,-64.0422,
403589_770_N,1059,"MANE_P4",876.6718,-186.7231,-81.7410,
403589_770_N,1025,"MANE_P5",816.5722,-303.5516,-61.7951,
403589_770_N,21059,"EYE_L|2_1",768.1390,-157.6877,205.6463,
403589_770_N,21055,"EYE_R|2_1",768.7318,-217.0907,205.5725,
403589_770_P,1010,"DISP_P1",1.3019,-173.6497,67.7294,
403589_770_P,1008,"DISP_P2",1.3817,173.3626,68.5266,
403589_770_P,1011,"DISP_P3",1.3363,172.6021,-56.6734,
403589_770_P,1029,"DISP_P4",1.2390,-10.3724,-61.8077,
403589_770_P,1006,"DISP_P5",1.1838,-172.8354,-57.1066,
403589_770_P,1026,"MANE_P1",814.7688,70.5342,76.1057,
403589_770_P,1025,"MANE_P2",814.6495,307.3257,77.4313,
403589_770_P,1019,"MANE_P3",816.3123,307.3089,-64.4820,
403589_770_P,1027,"MANE_P4",876.4802,187.2273,-82.1953,
403589_770_P,1025,"MANE_P5",816.4486,70.3628,-62.2506,
403589_770_P,21059,"EYE_L|2_1",767.9960,216.1778,205.2141,
403589_770_P,21055,"EYE_R|2_1",768.6205,156.7751,205.1351,
403589_DISP,1006,"DISP_P1",1.2575,-173.6681,67.7281,
403589_DISP,1003,"DISP_P2",1.4219,173.3805,68.5344,
403589_DISP,1008,"DISP_P3",1.3443,172.6249,-56.6759,
403589_DISP,1010,"DISP_P4",1.1360,-10.3711,-61.8193,
403589_DISP,1013,"DISP_P5",1.2828,-172.8588,-57.0991,
550_C,1003,"ABS2_P1",-262.2691,-504.9364,802.4293,
550_C,1012,"ABS2_P2",-261.6758,599.6366,799.1376,
550_C,1047,"ABS2_P3",-259.8697,618.9844,-133.6188,
550_C,1002,"ABS2_P4",-260.5151,-481.4778,-132.9077,
550_C,1007,"DISP_P1",1.2869,-173.6390,67.7232,
550_C,1017,"DISP_P2",1.3964,173.3622,68.5236,
550_C,1018,"DISP_P3",1.3252,172.5983,-56.6712,
550_C,1050,"DISP_P4",1.2314,-10.3787,-61.7975,
550_C,1015,"DISP_P5",1.2028,-172.8356,-57.1097,
550_C,1026,"MANE_P1",594.4908,-116.0800,66.2054,
550_C,1013,"MANE_P2",594.5877,120.7206,67.6946,
550_C,1023,"MANE_P3",594.9597,120.7855,-74.2319,
550_C,1022,"MANE_P4",654.8621,0.6533,-92.5900,
550_C,1025,"MANE_P5",594.9069,-116.1617,-72.1605,
550_C,21059,"EYE_L|2_1",549.0275,29.5196,195.8302,
550_C,21055,"EYE_R|2_1",549.5988,-29.8835,195.7068,
660_C,1011,"ABS2_P1",-269.4109,-505.8128,801.1209,
660_C,1021,"ABS2_P2",-269.0938,598.7631,797.6563,
660_C,1032,"ABS2_P3",-257.9544,617.9243,-135.0313,
660_C,1002,"ABS2_P4",-258.3007,-482.4644,-134.1580,
660_C,1029,"DISP_P1",1.2823,-173.6307,67.7257,
660_C,1035,"DISP_P2",1.4008,173.3553,68.5211,
660_C,1036,"DISP_P3",1.3212,172.5879,-56.6652,
660_C,1024,"DISP_P4",1.2303,-10.3708,-61.8047,
660_C,1023,"DISP_P5",1.2081,-172.8345,-57.1086,
660_C,1026,"MANE_P1",704.6989,-116.8050,74.7311,
660_C,1046,"MANE_P2",704.7247,119.9865,76.1581,
660_C,1057,"MANE_P3",706.4372,120.0191,-65.7388,
660_C,1066,"MANE_P4",766.5218,-0.0617,-83.4958,
660_C,1025,"MANE_P5",706.4196,-116.9130,-63.6246,
660_C,21059,"EYE_L|2_1",657.9774,28.8073,203.8934,
660_C,21055,"EYE_R|2_1",658.5655,-30.5957,203.7869,
